iteration,buffer_size,white_wins,black_wins,draws,loss,policy_loss,value_loss
145,176183,6,9,5,1.8592118287086488,1.5660673582553863,0.29314447164535523
146,177412,6,13,1,1.862749569416046,1.5669656312465667,0.29578393504023553
147,178637,7,13,0,1.8660335433483124,1.5649150025844574,0.30111853882670403
148,179864,4,13,3,1.8652294945716859,1.5636505305767059,0.3015789645910263
149,181089,11,8,1,1.871813750267029,1.5697813475131988,0.3020323970913887
150,182315,10,9,1,1.8725189089775085,1.569776909351349,0.3027419991791248
151,183540,5,12,3,1.8726182055473328,1.5716595315933228,0.3009586755931377
152,184765,13,4,3,1.8788553619384765,1.5675283777713775,0.31132698819041255
153,185994,10,9,1,1.8853170609474181,1.5783543229103087,0.30696273043751715
154,187222,10,10,0,1.8899256455898286,1.5749500596523285,0.3149755817651749
155,188454,9,9,2,1.8842701053619384,1.577202798128128,0.3070672994852066
156,189680,4,15,1,1.8821776843070983,1.577418863773346,0.3047588168084621
157,190903,8,10,2,1.8852480196952819,1.5786609613895417,0.30658705189824104
158,192129,5,12,3,1.8860930609703064,1.5777787268161774,0.30831432789564134
159,193358,3,11,6,1.8820581710338593,1.5760060036182404,0.30605216935276985
160,194585,5,10,5,1.8959455573558808,1.5767801260948182,0.3191654320061207
161,195811,5,9,6,1.8845098042488098,1.5751582443714143,0.30935155928134916
162,197033,3,14,3,1.8916596639156342,1.5813985860347748,0.3102610835433006
163,198259,11,7,2,1.9023837888240813,1.58207639336586,0.32030739933252333
164,199485,9,10,1,1.9015978395938873,1.5886237680912019,0.3129740759730339
165,200708,8,10,2,1.9016281020641328,1.5885461950302124,0.31308190792798996
166,201936,7,10,3,1.9140055632591249,1.591950101852417,0.3220554620027542
167,203162,10,8,2,1.9001397609710693,1.5793979787826538,0.32074177905917167
168,204393,6,13,1,1.9092170572280884,1.5968236446380615,0.31239341244101526
169,205624,8,11,1,1.9132555675506593,1.596865154504776,0.3163904041051865
170,206849,9,7,4,1.9047453451156615,1.5851370120048522,0.31960833698511126
171,208074,5,12,3,1.906175376176834,1.5911649024486543,0.31501047998666765
172,209303,10,8,2,1.9204030108451844,1.5961911463737488,0.3242118565738201
173,210526,8,11,1,1.9166475284099578,1.5929433393478394,0.3237041935324669
174,211754,9,9,2,1.9113302958011626,1.5906172120571136,0.32071308106184004
175,212979,11,9,0,1.919205812215805,1.5955518794059753,0.32365393623709676
176,214204,8,10,2,1.9219250524044036,1.5970454096794129,0.3248796504735947
177,215430,4,15,1,1.9160626387596131,1.5918579041957854,0.3242047357559204
178,216652,6,12,2,1.923222041130066,1.5950308799743653,0.3281911587715149
179,217877,8,11,1,1.920025600194931,1.5956498861312867,0.3243757143616676
180,219100,6,13,1,1.9247777736186982,1.59548353433609,0.3292942349612713
181,220326,7,12,1,1.9391090559959412,1.6082684302330017,0.3308406212925911
182,221554,6,10,4,1.930803861618042,1.6058246409893036,0.32497922658920286
183,222783,4,15,1,1.921423647403717,1.5959262347221375,0.325497422516346
184,224014,11,8,1,1.9240684127807617,1.5986207711696625,0.32544764772057533
185,225241,6,11,3,1.930003615617752,1.6014180195331573,0.32858559861779213
186,226464,8,10,2,1.935255447626114,1.601006520986557,0.3342489278316498
187,227695,7,8,5,1.9392001056671142,1.5995534670352936,0.3396466474235058
188,228922,6,12,2,1.9363251721858978,1.60120445728302,0.33512072056531905
189,230146,10,7,3,1.9329566216468812,1.600930689573288,0.3320259431004524
190,231369,7,11,2,1.9308369374275207,1.6046924006938934,0.3261445339024067
191,232597,8,11,1,1.9411078345775605,1.6016843116283417,0.33942352280020716
192,233828,12,7,1,1.9492988359928132,1.6097792828083037,0.3395195493102074
193,235054,8,10,2,1.9369028520584106,1.6003910326957702,0.33651182651519773
194,236279,7,13,0,1.9480521202087402,1.6061905205249787,0.3418616020679474
195,237504,5,9,6,1.9543635845184326,1.6129935085773468,0.3413700744509697
196,238734,5,15,0,1.963650839328766,1.6134031629562378,0.3502476778626442
197,239957,7,13,0,1.961238602399826,1.6135181641578675,0.3477204468846321
198,241184,8,10,2,1.9592530286312104,1.6108389127254485,0.34841411679983136
199,242416,6,11,3,1.9492401993274688,1.611247888803482,0.3379923105239868
200,243639,7,12,1,1.9552884936332702,1.6091620755195617,0.3461264166235924
